ts_code,code,name,area,industry,list_status,list_date,is_hs
300625.SZ,300625,三雄极光,广东,家用电器,L,20170317,N
300626.SZ,300626,华瑞股份,浙江,电气设备,L,20170320,N
300627.SZ,300627,华测导航,上海,通信设备,L,20170321,S
300628.SZ,300628,亿联网络,福建,通信设备,L,20170317,S
300629.SZ,300629,新劲刚,广东,元器件,L,20170324,N
300630.SZ,300630,普利制药,海南,化学制药,L,20170328,S
300631.SZ,300631,久吾高科,江苏,水务,L,20170323,N
300632.SZ,300632,光莆股份,福建,半导体,L,20170406,N
300633.SZ,300633,开立医疗,深圳,医疗保健,L,20170406,S
300634.SZ,300634,彩讯股份,深圳,软件服务,L,20180323,S
300635.SZ,300635,中达安,广东,建筑工程,L,20170331,N
300636.SZ,300636,同和药业,江西,化学制药,L,20170331,S
300637.SZ,300637,扬帆新材,浙江,化工原料,L,20170412,N
300638.SZ,300638,广和通,深圳,通信设备,L,20170413,S
300639.SZ,300639,凯普生物,广东,医疗保健,L,20170412,S
300640.SZ,300640,德艺文创,福建,家居用品,L,20170417,N
300641.SZ,300641,正丹股份,江苏,化工原料,L,20170418,N
300642.SZ,300642,透景生命,上海,医疗保健,L,20170421,N
300643.SZ,300643,万通智控,浙江,汽车配件,L,20170505,N
300644.SZ,300644,南京聚隆,江苏,塑料,L,20180206,N
300645.SZ,300645,正元智慧,浙江,软件服务,L,20170421,N
300647.SZ,300647,超频三,深圳,元器件,L,20170503,N
300648.SZ,300648,星云股份,福建,电气设备,L,20170425,S
300649.SZ,300649,杭州园林,浙江,建筑工程,L,20170505,N
300650.SZ,300650,太龙股份,福建,电气设备,L,20170503,N
300651.SZ,300651,金陵体育,江苏,文教休闲,L,20170509,N
300652.SZ,300652,雷迪克,浙江,汽车配件,L,20170516,N
300653.SZ,300653,正海生物,山东,医疗保健,L,20170516,S
300654.SZ,300654,世纪天鸿,山东,出版业,L,20170926,N
300655.SZ,300655,晶瑞电材,江苏,化工原料,L,20170523,S
300656.SZ,300656,民德电子,深圳,IT设备,L,20170519,S
300657.SZ,300657,弘信电子,福建,元器件,L,20170523,S
300658.SZ,300658,延江股份,福建,纺织,L,20170602,N
300659.SZ,300659,中孚信息,山东,软件服务,L,20170526,S
300660.SZ,300660,江苏雷利,江苏,电气设备,L,20170602,S
300661.SZ,300661,圣邦股份,北京,半导体,L,20170606,S
300662.SZ,300662,科锐国际,北京,文教休闲,L,20170608,S
300663.SZ,300663,科蓝软件,北京,软件服务,L,20170608,S
300664.SZ,300664,鹏鹞环保,江苏,环境保护,L,20180105,N
300665.SZ,300665,飞鹿股份,湖南,染料涂料,L,20170613,N
300666.SZ,300666,江丰电子,浙江,半导体,L,20170615,S
300667.SZ,300667,必创科技,北京,电器仪表,L,20170619,N
300668.SZ,300668,杰恩设计,深圳,装修装饰,L,20170619,N
300669.SZ,300669,沪宁股份,浙江,机械基件,L,20170629,N
300670.SZ,300670,大烨智能,江苏,电气设备,L,20170703,N
300671.SZ,300671,富满微,深圳,半导体,L,20170705,S
300672.SZ,300672,国科微,湖南,半导体,L,20170712,S
300673.SZ,300673,佩蒂股份,浙江,饲料,L,20170711,N
300674.SZ,300674,宇信科技,北京,软件服务,L,20181107,S
300675.SZ,300675,建科院,深圳,建筑工程,L,20170719,N
300676.SZ,300676,华大基因,深圳,医疗保健,L,20170714,S
300677.SZ,300677,英科医疗,山东,医疗保健,L,20170721,S
300678.SZ,300678,中科信息,四川,软件服务,L,20170728,N
300679.SZ,300679,电连技术,深圳,元器件,L,20170731,S
300680.SZ,300680,隆盛科技,江苏,汽车配件,L,20170725,S
300681.SZ,300681,英搏尔,广东,汽车配件,L,20170725,S
300682.SZ,300682,朗新科技,江苏,软件服务,L,20170801,S
300683.SZ,300683,海特生物,湖北,生物制药,L,20170808,N
300684.SZ,300684,中石科技,北京,化工原料,L,20171227,N
300685.SZ,300685,艾德生物,福建,医疗保健,L,20170802,S
300686.SZ,300686,智动力,深圳,元器件,L,20170804,N
300687.SZ,300687,赛意信息,广东,软件服务,L,20170803,S
300688.SZ,300688,创业黑马,北京,文教休闲,L,20170810,N
300689.SZ,300689,澄天伟业,深圳,元器件,L,20170809,N
300690.SZ,300690,双一科技,山东,电气设备,L,20170808,N
300691.SZ,300691,联合光电,广东,元器件,L,20170811,N
300692.SZ,300692,中环环保,安徽,环境保护,L,20170821,N
300693.SZ,300693,盛弘股份,深圳,电气设备,L,20170822,S
300694.SZ,300694,蠡湖股份,江苏,汽车配件,L,20181015,N
300695.SZ,300695,兆丰股份,浙江,汽车配件,L,20170908,N
300696.SZ,300696,爱乐达,四川,航空,L,20170822,S
300697.SZ,300697,电工合金,江苏,铜,L,20170907,N
300698.SZ,300698,万马科技,浙江,通信设备,L,20170831,N
300699.SZ,300699,光威复材,山东,化纤,L,20170901,S
300700.SZ,300700,岱勒新材,湖南,矿物制品,L,20170912,N
300701.SZ,300701,森霸传感,河南,元器件,L,20170915,N
300702.SZ,300702,天宇股份,浙江,化学制药,L,20170919,S
300703.SZ,300703,创源股份,浙江,文教休闲,L,20170919,N
300705.SZ,300705,九典制药,湖南,化学制药,L,20171010,S
300706.SZ,300706,阿石创,福建,元器件,L,20170926,N
300707.SZ,300707,威唐工业,江苏,专用机械,L,20171010,N
300708.SZ,300708,聚灿光电,江苏,半导体,L,20171016,S
300709.SZ,300709,精研科技,江苏,元器件,L,20171019,S
300710.SZ,300710,万隆光电,浙江,通信设备,L,20171019,N
300711.SZ,300711,广哈通信,广东,通信设备,L,20171101,N
300712.SZ,300712,永福股份,福建,建筑工程,L,20171031,S
300713.SZ,300713,英可瑞,深圳,电气设备,L,20171101,N
300715.SZ,300715,凯伦股份,江苏,其他建材,L,20171026,N
300716.SZ,300716,泉为科技,广东,塑料,L,20171109,N
300717.SZ,300717,华信新材,江苏,塑料,L,20171106,N
300718.SZ,300718,长盛轴承,浙江,机械基件,L,20171106,S
300719.SZ,300719,安达维尔,北京,航空,L,20171109,N
300720.SZ,300720,海川智能,广东,电器仪表,L,20171106,N
300721.SZ,300721,怡达股份,江苏,化工原料,L,20171115,N
300722.SZ,300722,新余国科,江西,航空,L,20171110,S
300723.SZ,300723,一品红,广东,化学制药,L,20171116,S
300724.SZ,300724,捷佳伟创,深圳,专用机械,L,20180810,S
300725.SZ,300725,药石科技,江苏,化学制药,L,20171110,S
300726.SZ,300726,宏达电子,湖南,元器件,L,20171121,S
300727.SZ,300727,润禾材料,浙江,化工原料,L,20171127,N
300729.SZ,300729,乐歌股份,浙江,家居用品,L,20171201,N
300730.SZ,300730,科创信息,湖南,软件服务,L,20171205,N
300731.SZ,300731,科创新源,深圳,橡胶,L,20171208,N
300732.SZ,300732,设研院,河南,建筑工程,L,20171212,N
300733.SZ,300733,西菱动力,四川,汽车配件,L,20180116,N
300735.SZ,300735,光弘科技,广东,通信设备,L,20171229,S
300736.SZ,300736,百邦科技,北京,通信设备,L,20180109,N
300737.SZ,300737,科顺股份,广东,其他建材,L,20180125,S
300738.SZ,300738,奥飞数据,广东,电信运营,L,20180119,S
300739.SZ,300739,明阳电路,深圳,元器件,L,20180201,N
300740.SZ,300740,水羊股份,湖南,日用化工,L,20180208,S
300741.SZ,300741,华宝股份,西藏,食品,L,20180301,S
300742.SZ,300742,越博动力,江苏,汽车配件,L,20180508,N
300743.SZ,300743,天地数码,浙江,IT设备,L,20180427,N
300745.SZ,300745,欣锐科技,深圳,汽车配件,L,20180523,S
300746.SZ,300746,汉嘉设计,浙江,建筑工程,L,20180525,N
300747.SZ,300747,锐科激光,湖北,元器件,L,20180625,S
300748.SZ,300748,金力永磁,江西,矿物制品,L,20180921,S
300749.SZ,300749,顶固集创,广东,家居用品,L,20180925,N
300750.SZ,300750,宁德时代,福建,电气设备,L,20180611,S
