Date,IndexCode,IndexName,Code,Name,Weigh
2021/2/26,300,沪深300,601319,中国人保,0.07
2021/2/26,300,沪深300,601328,交通银行,0.63
2021/2/26,300,沪深300,601336,新华保险,0.22
2021/2/26,300,沪深300,601360,三六零,0.17
2021/2/26,300,沪深300,601377,兴业证券,0.24
2021/2/26,300,沪深300,601390,中国中铁,0.29
2021/2/26,300,沪深300,601398,工商银行,0.94
2021/2/26,300,沪深300,601555,东吴证券,0.13
2021/2/26,300,沪深300,601577,长沙银行,0.05
2021/2/26,300,沪深300,601600,中国铝业,0.14
2021/2/26,300,沪深300,601601,中国太保,0.75
2021/2/26,300,沪深300,601607,上海医药,0.12
2021/2/26,300,沪深300,601618,中国中冶,0.12
2021/2/26,300,沪深300,601628,中国人寿,0.28
2021/2/26,300,沪深300,601633,长城汽车,0.19
2021/2/26,300,沪深300,601658,邮储银行,0.1
2021/2/26,300,沪深300,601668,中国建筑,0.53
2021/2/26,300,沪深300,601669,中国电建,0.15
2021/2/26,300,沪深300,601688,华泰证券,0.5
2021/2/26,300,沪深300,601696,中银证券,0.03
2021/2/26,300,沪深300,601698,中国卫通,0.04
2021/2/26,300,沪深300,601727,上海电气,0.1
2021/2/26,300,沪深300,601766,中国中车,0.42
2021/2/26,300,沪深300,601788,光大证券,0.15
2021/2/26,300,沪深300,601800,中国交建,0.12
2021/2/26,300,沪深300,601808,中海油服,0.05
2021/2/26,300,沪深300,601816,京沪高铁,0.1
2021/2/26,300,沪深300,601818,光大银行,0.33
2021/2/26,300,沪深300,601838,成都银行,0.12
2021/2/26,300,沪深300,601857,中国石油,0.21
2021/2/26,300,沪深300,601872,招商轮船,0.05
2021/2/26,300,沪深300,601877,正泰电器,0.18
2021/2/26,300,沪深300,601878,浙商证券,0.11
2021/2/26,300,沪深300,601881,中国银河,0.07
2021/2/26,300,沪深300,601888,中国中免,1.5
2021/2/26,300,沪深300,601899,紫金矿业,0.83
2021/2/26,300,沪深300,601901,方正证券,0.18
2021/2/26,300,沪深300,601916,浙商银行,0.07
2021/2/26,300,沪深300,601919,中远海控,0.3
2021/2/26,300,沪深300,601933,永辉超市,0.14
2021/2/26,300,沪深300,601939,建设银行,0.24
2021/2/26,300,沪深300,601985,中国核电,0.14
2021/2/26,300,沪深300,601988,中国银行,0.34
2021/2/26,300,沪深300,601989,中国重工,0.19
2021/2/26,300,沪深300,601990,南京证券,0.08
2021/2/26,300,沪深300,601998,中信银行,0.08
2021/2/26,300,沪深300,603019,中科曙光,0.16
2021/2/26,300,沪深300,603087,甘李药业,0.04
2021/2/26,300,沪深300,603156,养元饮品,0.07
2021/2/26,300,沪深300,603160,汇顶科技,0.16
2021/2/26,300,沪深300,603195,公牛集团,0.06
2021/2/26,300,沪深300,603259,药明康德,0.92
2021/2/26,300,沪深300,603288,海天味业,0.84
2021/2/26,300,沪深300,603369,今世缘,0.15
2021/2/26,300,沪深300,603392,万泰生物,0.06
2021/2/26,300,沪深300,603501,韦尔股份,0.61
2021/2/26,300,沪深300,603658,安图生物,0.08
2021/2/26,300,沪深300,603799,华友钴业,0.32
2021/2/26,300,沪深300,603833,欧派家居,0.14
2021/2/26,300,沪深300,603899,晨光文具,0.14
2021/2/26,300,沪深300,603986,兆易创新,0.32
2021/2/26,300,沪深300,603993,洛阳钼业,0.24
2021/2/26,300,沪深300,688008,澜起科技,0.17
2021/2/26,300,沪深300,688009,中国通号,0.08
2021/2/26,300,沪深300,688012,中微公司,0.13
2021/2/26,300,沪深300,688036,传音控股,0.16
2021/2/26,300,沪深300,000001,平安银行,1.03
2021/2/26,300,沪深300,000002,万科A,1.12
2021/2/26,300,沪深300,000063,中兴通讯,0.43
2021/2/26,300,沪深300,000066,中国长城,0.15
2021/2/26,300,沪深300,000069,华侨城A,0.17
2021/2/26,300,沪深300,000100,TCL科技,0.58
2021/2/26,300,沪深300,000157,中联重科,0.3
2021/2/26,300,沪深300,000166,申万宏源,0.22
2021/2/26,300,沪深300,000333,美的集团,2.28
2021/2/26,300,沪深300,000338,潍柴动力,0.53
2021/2/26,300,沪深300,000425,徐工机械,0.16
2021/2/26,300,沪深300,000538,云南白药,0.33
2021/2/26,300,沪深300,000568,泸州老窖,0.86
2021/2/26,300,沪深300,000596,古井贡酒,0.13
2021/2/26,300,沪深300,000625,长安汽车,0.2
2021/2/26,300,沪深300,000627,天茂集团,0.04
2021/2/26,300,沪深300,000651,格力电器,1.41
2021/2/26,300,沪深300,000656,金科股份,0.12
2021/2/26,300,沪深300,000661,长春高新,0.59
2021/2/26,300,沪深300,000671,阳光城,0.05
2021/2/26,300,沪深300,000703,恒逸石化,0.17
2021/2/26,300,沪深300,000708,中信特钢,0.14
2021/2/26,300,沪深300,000723,美锦能源,0.07
2021/2/26,300,沪深300,000725,京东方A,0.82
2021/2/26,300,沪深300,000728,国元证券,0.1
2021/2/26,300,沪深300,000768,中航西飞,0.22
2021/2/26,300,沪深300,000776,广发证券,0.24
2021/2/26,300,沪深300,000783,长江证券,0.14
2021/2/26,300,沪深300,000786,北新建材,0.24
2021/2/26,300,沪深300,000858,五 粮 液,2.7
2021/2/26,300,沪深300,000860,顺鑫农业,0.14
