l1code,l1name,l2code,l2name,l3code,l3name,code,name,area,market,exchange,list_status,list_date,is_hs
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,002672,东江环保,深圳,中小板,SZSE,L,20120426,S
801970.SI,环保,801971.SI,环境治理,859714.SI,综合环境治理,002778,中晟高科,江苏,中小板,SZSE,L,20160106,N
801970.SI,环保,801971.SI,环境治理,859714.SI,综合环境治理,002887,绿茵生态,天津,中小板,SZSE,L,20170801,N
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,002973,侨银股份,广东,中小板,SZSE,L,20200106,N
801970.SI,环保,801971.SI,环境治理,859711.SI,大气治理,003027,同兴环保,安徽,主板,SZSE,L,20201218,N
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,003039,顺控发展,广东,主板,SZSE,L,20210308,S
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,300055,万邦达,北京,创业板,SZSE,L,20100226,S
801970.SI,环保,801971.SI,环境治理,859711.SI,大气治理,300056,中创环保,福建,创业板,SZSE,L,20100226,N
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,300070,碧水源,北京,创业板,SZSE,L,20100421,S
801970.SI,环保,801971.SI,环境治理,859711.SI,大气治理,300072,海新能科,北京,创业板,SZSE,L,20100427,S
801970.SI,环保,801972.SI,环保设备Ⅱ,859721.SI,环保设备Ⅲ,300137,先河环保,河北,创业板,SZSE,L,20101105,N
801970.SI,环保,801971.SI,环境治理,859714.SI,综合环境治理,300152,新动力,河北,创业板,SZSE,L,20101229,N
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,300172,中电环保,江苏,创业板,SZSE,L,20110201,N
801970.SI,环保,801971.SI,环境治理,859714.SI,综合环境治理,300187,永清环保,湖南,创业板,SZSE,L,20110308,N
801970.SI,环保,801971.SI,环境治理,859714.SI,综合环境治理,300190,维尔利,江苏,创业板,SZSE,L,20110316,N
801970.SI,环保,801972.SI,环保设备Ⅱ,859721.SI,环保设备Ⅲ,300203,聚光科技,浙江,创业板,SZSE,L,20110415,S
801970.SI,环保,801972.SI,环保设备Ⅱ,859721.SI,环保设备Ⅲ,300210,森远股份,辽宁,创业板,SZSE,L,20110426,N
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,300262,巴安水务,上海,创业板,SZSE,L,20110916,N
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,300266,兴源环境,浙江,创业板,SZSE,L,20110927,S
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,300334,津膜科技,天津,创业板,SZSE,L,20120705,N
801970.SI,环保,801971.SI,环境治理,859711.SI,大气治理,300385,雪浪环境,江苏,创业板,SZSE,L,20140626,N
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,300388,节能国祯,安徽,创业板,SZSE,L,20140801,N
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,300422,博世科,广西,创业板,SZSE,L,20150217,N
801970.SI,环保,801972.SI,环保设备Ⅱ,859721.SI,环保设备Ⅲ,300425,中建环能,四川,创业板,SZSE,L,20150216,N
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,300437,清水源,河南,创业板,SZSE,L,20150423,N
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,300614,百川畅银,河南,创业板,SZSE,L,20210525,N
801970.SI,环保,801972.SI,环保设备Ⅱ,859721.SI,环保设备Ⅲ,300631,久吾高科,江苏,创业板,SZSE,L,20170323,N
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,300664,鹏鹞环保,江苏,创业板,SZSE,L,20180105,N
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,300692,中环环保,安徽,创业板,SZSE,L,20170821,N
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,300774,倍杰特,北京,创业板,SZSE,L,20210804,S
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,300779,惠城环保,山东,创业板,SZSE,L,20190522,N
801970.SI,环保,801972.SI,环保设备Ⅱ,859721.SI,环保设备Ⅲ,300786,国林科技,山东,创业板,SZSE,L,20190723,N
801970.SI,环保,801972.SI,环保设备Ⅱ,859721.SI,环保设备Ⅲ,300800,力合科技,湖南,创业板,SZSE,L,20191106,N
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,300815,玉禾田,安徽,创业板,SZSE,L,20200123,N
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,300854,中兰环保,深圳,创业板,SZSE,L,20210916,N
801970.SI,环保,801971.SI,环境治理,859714.SI,综合环境治理,300864,南大环境,江苏,创业板,SZSE,L,20200824,N
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,300867,圣元环保,福建,创业板,SZSE,L,20200824,N
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,300899,上海凯鑫,上海,创业板,SZSE,L,20201016,N
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,300929,华骐环保,安徽,创业板,SZSE,L,20210120,N
801970.SI,环保,801971.SI,环境治理,859714.SI,综合环境治理,300958,建工修复,北京,创业板,SZSE,L,20210329,N
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,300961,深水海纳,深圳,创业板,SZSE,L,20210330,N
